S*_score	SNP_num	quantile	log(local_recomb_rate)
36356.0	10	0.5	-8.0
36670.5	10	0.505	-8.0
36887.4	10	0.51	-8.0
36974.175	10	0.515	-8.0
37169.8	10	0.52	-8.0
37232.625	10	0.525	-8.0
37431.21	10	0.53	-8.0
37585.4	10	0.535	-8.0
37763.56	10	0.54	-8.0
37869.9	10	0.545	-8.0
38099.667	10	0.55	-8.0
38242.85	10	0.555	-8.0
38400.0	10	0.56	-8.0
38522.575	10	0.565	-8.0
38798.42	10	0.57	-8.0
39115.0	10	0.575	-8.0
39288.25	10	0.58	-8.0
39355.0	10	0.585	-8.0
39469.8	10	0.59	-8.0
39580.6	10	0.595	-8.0
39764.4	10	0.6	-8.0
39855.0	10	0.605	-8.0
39954.9	10	0.61	-8.0
40165.4	10	0.615	-8.0
40473.9	10	0.62	-8.0
40746.25	10	0.625	-8.0
40886.133	10	0.63	-8.0
41062.96	10	0.635	-8.0
41184.84	10	0.64	-8.0
41294.15	10	0.645	-8.0
41495.2	10	0.65	-8.0
41633.5	10	0.655	-8.0
41729.4	10	0.66	-8.0
41855.59	10	0.665	-8.0
42002.4	10	0.67	-8.0
42146.25	10	0.675	-8.0
42381.4	10	0.68	-8.0
42459.25	10	0.685	-8.0
42723.94	10	0.69	-8.0
42892.9	10	0.695	-8.0
43139.0	10	0.7	-8.0
43385.87	10	0.705	-8.0
43554.7	10	0.71	-8.0
43693.39	10	0.715	-8.0
43917.8	10	0.72	-8.0
44033.25	10	0.725	-8.0
44295.1	10	0.73	-8.0
44535.875	10	0.735	-8.0
44684.4	10	0.74	-8.0
44855.75	10	0.745	-8.0
45024.167	10	0.75	-8.0
45145.185	10	0.755	-8.0
45274.0	10	0.76	-8.0
45476.833	10	0.765	-8.0
45854.52	10	0.77	-8.0
46221.25	10	0.775	-8.0
46416.7	10	0.78	-8.0
46630.9	10	0.785	-8.0
46875.3	10	0.79	-8.0
47035.0	10	0.795	-8.0
47261.0	10	0.8	-8.0
47400.35	10	0.805	-8.0
47595.286	10	0.81	-8.0
47839.35	10	0.815	-8.0
48018.4	10	0.82	-8.0
48276.0	10	0.825	-8.0
48566.8	10	0.83	-8.0
48911.988	10	0.835	-8.0
49050.0	10	0.84	-8.0
49225.3	10	0.845	-8.0
49363.5	10	0.85	-8.0
49487.7	10	0.855	-8.0
49767.8	10	0.86	-8.0
49980.5	10	0.865	-8.0
50148.8	10	0.87	-8.0
50336.25	10	0.875	-8.0
50594.3	10	0.88	-8.0
50810.0	10	0.885	-8.0
51065.8	10	0.89	-8.0
51486.9	10	0.895	-8.0
51700.0	10	0.9	-8.0
51853.8	10	0.905	-8.0
52099.0	10	0.91	-8.0
52488.85	10	0.915	-8.0
52804.686	10	0.92	-8.0
53299.0	10	0.925	-8.0
53428.5	10	0.93	-8.0
54093.15	10	0.935	-8.0
54467.4	10	0.94	-8.0
54906.88	10	0.945	-8.0
55074.0	10	0.95	-8.0
55626.7	10	0.955	-8.0
55852.0	10	0.96	-8.0
56290.05	10	0.965	-8.0
56655.7	10	0.97	-8.0
57436.25	10	0.975	-8.0
57930.0	10	0.98	-8.0
58623.9	10	0.985	-8.0
59528.0	10	0.99	-8.0
61317.35	10	0.995	-8.0
36532.5	15	0.5	-8.0
36723.312	15	0.505	-8.0
36925.0	15	0.51	-8.0
37119.9	15	0.515	-8.0
37240.0	15	0.52	-8.0
37436.625	15	0.525	-8.0
37549.8	15	0.53	-8.0
37698.1	15	0.535	-8.0
37844.1	15	0.54	-8.0
37920.0	15	0.545	-8.0
38145.0	15	0.55	-8.0
38303.288	15	0.555	-8.0
38452.4	15	0.56	-8.0
38654.188	15	0.565	-8.0
38879.05	15	0.57	-8.0
38999.938	15	0.575	-8.0
39165.7	15	0.58	-8.0
39304.788	15	0.585	-8.0
39496.82	15	0.59	-8.0
39633.175	15	0.595	-8.0
39798.333	15	0.6	-8.0
39989.825	15	0.605	-8.0
40157.75	15	0.61	-8.0
40293.532	15	0.615	-8.0
40446.9	15	0.62	-8.0
40737.5	15	0.625	-8.0
40846.85	15	0.63	-8.0
40965.0	15	0.635	-8.0
41090.8	15	0.64	-8.0
41391.175	15	0.645	-8.0
41597.167	15	0.65	-8.0
41768.075	15	0.655	-8.0
41992.14	15	0.66	-8.0
42194.725	15	0.665	-8.0
42358.3	15	0.67	-8.0
42516.375	15	0.675	-8.0
42658.88	15	0.68	-8.0
42785.739	15	0.685	-8.0
43011.363	15	0.69	-8.0
43144.675	15	0.695	-8.0
43295.5	15	0.7	-8.0
43437.55	15	0.705	-8.0
43633.613	15	0.71	-8.0
43771.9	15	0.715	-8.0
44015.0	15	0.72	-8.0
44208.875	15	0.725	-8.0
44402.7	15	0.73	-8.0
44639.08	15	0.735	-8.0
44782.4	15	0.74	-8.0
44907.925	15	0.745	-8.0
45116.25	15	0.75	-8.0
45359.64	15	0.755	-8.0
45680.8	15	0.76	-8.0
45840.0	15	0.765	-8.0
46061.667	15	0.77	-8.0
46277.875	15	0.775	-8.0
46373.7	15	0.78	-8.0
46538.204	15	0.785	-8.0
46715.35	15	0.79	-8.0
46931.175	15	0.795	-8.0
47142.0	15	0.8	-8.0
47325.0	15	0.805	-8.0
47578.65	15	0.81	-8.0
47773.95	15	0.815	-8.0
48040.3	15	0.82	-8.0
48240.0	15	0.825	-8.0
48380.85	15	0.83	-8.0
48625.52	15	0.835	-8.0
48920.8	15	0.84	-8.0
49283.85	15	0.845	-8.0
49470.5	15	0.85	-8.0
49696.505	15	0.855	-8.0
49901.9	15	0.86	-8.0
50120.0	15	0.865	-8.0
50407.675	15	0.87	-8.0
50735.313	15	0.875	-8.0
50955.0	15	0.88	-8.0
51374.225	15	0.885	-8.0
51608.7	15	0.89	-8.0
51794.815	15	0.895	-8.0
52118.5	15	0.9	-8.0
52353.65	15	0.905	-8.0
52770.75	15	0.91	-8.0
53030.195	15	0.915	-8.0
53344.4	15	0.92	-8.0
53692.625	15	0.925	-8.0
54018.117	15	0.93	-8.0
54384.2	15	0.935	-8.0
54765.6	15	0.94	-8.0
55172.283	15	0.945	-8.0
55585.25	15	0.95	-8.0
56230.75	15	0.955	-8.0
57042.4	15	0.96	-8.0
57612.6	15	0.965	-8.0
58418.5	15	0.97	-8.0
59040.35	15	0.975	-8.0
60030.7	15	0.98	-8.0
62267.525	15	0.985	-8.0
63507.445	15	0.99	-8.0
67717.385	15	0.995	-8.0
36872.5	20	0.5	-8.0
37085.0	20	0.505	-8.0
37260.2	20	0.51	-8.0
37438.825	20	0.515	-8.0
37570.0	20	0.52	-8.0
37760.5	20	0.525	-8.0
37950.9	20	0.53	-8.0
38084.25	20	0.535	-8.0
38270.2	20	0.54	-8.0
38475.0	20	0.545	-8.0
38650.75	20	0.55	-8.0
38884.35	20	0.555	-8.0
39020.0	20	0.56	-8.0
39162.35	20	0.565	-8.0
39406.96	20	0.57	-8.0
39571.5	20	0.575	-8.0
39772.64	20	0.58	-8.0
39989.835	20	0.585	-8.0
40183.85	20	0.59	-8.0
40332.415	20	0.595	-8.0
40522.0	20	0.6	-8.0
40692.355	20	0.605	-8.0
40891.65	20	0.61	-8.0
41018.65	20	0.615	-8.0
41190.5	20	0.62	-8.0
41339.5	20	0.625	-8.0
41535.2	20	0.63	-8.0
41692.93	20	0.635	-8.0
41883.16	20	0.64	-8.0
42080.267	20	0.645	-8.0
42180.75	20	0.65	-8.0
42345.0	20	0.655	-8.0
42480.12	20	0.66	-8.0
42710.83	20	0.665	-8.0
42872.975	20	0.67	-8.0
43014.35	20	0.675	-8.0
43238.6	20	0.68	-8.0
43330.0	20	0.685	-8.0
43533.42	20	0.69	-8.0
43695.0	20	0.695	-8.0
43829.6	20	0.7	-8.0
44055.917	20	0.705	-8.0
44232.1	20	0.71	-8.0
44456.162	20	0.715	-8.0
44632.2	20	0.72	-8.0
44774.8	20	0.725	-8.0
44970.15	20	0.73	-8.0
45144.85	20	0.735	-8.0
45360.9	20	0.74	-8.0
45584.66	20	0.745	-8.0
45808.333	20	0.75	-8.0
46037.879	20	0.755	-8.0
46248.52	20	0.76	-8.0
46435.0	20	0.765	-8.0
46587.7	20	0.77	-8.0
